Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
PNR;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
COO;Saúde;Equipamentos;Equipamentos
J;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa
GEN;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
GDDY;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
TXT;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa
FOX;Comunicações;Mídia;Mídia
FFIV;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
FOXA;Comunicações;Mídia;Mídia
DECK;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
ERIE;Financeiro e Outros;Previdência e Seguros;Seguradoras
SOLV;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
BBY;Consumo Cíclico;Utilidades Domésticas;Eletrônicos
VTRS;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
LYB;Materiais Básicos;Químicos;Químicos Diversos
HII;Bens Industriais;Transporte;Transporte Hidroviário
NDSN;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
MRNA;Tecnologia da Informação;Biotecnologia;Biotecnologia
AVY;Materiais Básicos;Embalagens;Embalagens
DPZ;Consumo não Cíclico;Comércio e Distribuição;Alimentos
ALLE;Consumo não Cíclico;Diversos;Produtos Diversos
IEX;Utilidade Pública;Água e Saneamento;Água e Saneamento
JKHY;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
MAS;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
BEN;Financeiro e Outros;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
UHS;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
AKAM;Bens Industriais;Serviços;Serviços Diversos
ZBRA;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
CLX;Materiais Básicos;Químicos;Químicos Diversos
HRL;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados
IVZ;Financeiro e Outros;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
HAS;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos
SWK;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
WYNN;Consumo Cíclico;Hoteis e Restaurantes;Hotelaria
EPAM;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
ALGN;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
CF;Materiais Básicos;Químicos;Fertilizantes e Defensivos
AIZ;Financeiro e Outros;Previdência e Seguros;Seguradoras
BLDR;Bens Industriais;Construção e Engenharia;Produtos para Construção
GL;Financeiro e Outros;Previdência e Seguros;Seguradoras
NCLH;Bens Industriais;Transporte;Transporte Hidroviário
FDS;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
CRL;Tecnologia da Informação;Biotecnologia;Biotecnologia
PNW;Utilidade Pública;Energia Elétrica;Energia Elétrica
BAX;Saúde;Equipamentos;Equipamentos
AES;Utilidade Pública;Energia Elétrica;Energia Elétrica
SJM;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
TECH;Tecnologia da Informação;Biotecnologia;Biotecnologia
NWSA;Consumo Cíclico;Mídia;Jornais. Livros e Revistas
MGM;Consumo Cíclico;Hoteis e Restaurantes;Hotelaria
AOS;Consumo Cíclico;Utilidades Domésticas;Eletrônicos
HSIC;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
MOH;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
TAP;Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes
POOL;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
SWKS;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
PAYC;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
APA;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
GNRC;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
DVA;Tecnologia da Informação;Biotecnologia;Biotecnologia
CPB;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
CAG;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
MTCH;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
LW;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
NWS;Consumo Cíclico;Mídia;Jornais. Livros e Revistas
