Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
NDAQ;Financeiro e Outros;Intermediários Financeiros;Bancos
IDXX;Tecnologia da Informação;Biotecnologia;Biotecnologia
VLO;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
SRE;Utilidade Pública;Gás;Gás
URI;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
EOG;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
ZTS;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
WDAY;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
PSX;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
AZO;Consumo não Cíclico;Diversos;Produtos Diversos
PYPL;Bens Industriais;Serviços;Serviços Diversos
ALL;Financeiro e Outros;Previdência e Seguros;Seguradoras
F;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
VST;Utilidade Pública;Energia Elétrica;Energia Elétrica
MET;Financeiro e Outros;Previdência e Seguros;Seguradoras
MPC;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
CMG;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares
EA;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
CBRE;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis
DDOG;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
CAH;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
AXON;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa
AME;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
EW;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
D;Utilidade Pública;Energia Elétrica;Energia Elétrica
BKR;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
GWW;Consumo não Cíclico;Diversos;Produtos Diversos
TTWO;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
DAL;Bens Industriais;Transporte;Transporte Aéreo
TGT;Consumo não Cíclico;Diversos;Produtos Diversos
ROP;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
FAST;Bens Industriais;Construção e Engenharia;Produtos para Construção
AMP;Financeiro e Outros;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
ROK;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
CTVA;Consumo não Cíclico;Agropecuária;Agricultura
MPWR;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
CARR;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
